URL,HTTP Method,Target Database Table,Writing Script / Service Handler,Data Domain Category
https://economictimes.indiatimes.com/news/economy/rss.cms,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://feeds.feedburner.com/ndtvnews-business,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://feeds.reuters.com/reuters/INbusinessNews,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://feeds.reuters.com/reuters/businessNews,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://in.finance.yahoo.com/news/rss,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://news.google.com/rss/search?q=${q}&hl=en-IN&gl=IN&ceid=IN:en,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://tradebrains.in/feed/,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://www.business-standard.com/rss/companies-101.rss,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://www.business-standard.com/rss/markets-106.rss,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://www.cnbctv18.com/commonfeeds/v1/cne/rss/market.xml,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://www.financialexpress.com/market/feed/,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://www.ft.com/rss/home/uk,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://www.livemint.com/rss/companies,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://www.livemint.com/rss/markets,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://www.moneycontrol.com/rss/brokerageresearch.xml,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://www.moneycontrol.com/rss/business.xml,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://www.moneycontrol.com/rss/economy.xml,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://www.moneycontrol.com/rss/latestnews.xml,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://www.moneycontrol.com/rss/marketreports.xml,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://www.moneycontrol.com/rss/mfnews.xml,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://www.thehindubusinessline.com/markets/?service=rss,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://www.zeebiz.com/market-news/rss.xml,GET,"news_articles, news_sentiment_items, market_sentiment_snapshots",newsSentimentService.ts,Exchange Announcements & Feeds (RSS Feeds)
https://portal.tradebrains.in/api/prices/investments/dii-investments/,GET,fii_dii_flow,fii_dii_backfill.py,FII/DII Institutional Flows
https://portal.tradebrains.in/api/prices/investments/fii-investments/,GET,fii_dii_flow,fii_dii_backfill.py,FII/DII Institutional Flows
https://www.nseindia.com/api/fiidiiTradeReact,GET,fii_dii_flow,"fii_dii_fetcher.py, sentiment.router.ts",FII/DII Institutional Flows
https://www.nseindia.com/market-data/fii-dii-activity,GET,fii_dii_flow,fii_dii_fetcher.py,FII/DII Institutional Flows
"https://query2.finance.yahoo.com/v10/finance/quoteSummary/${symbol}.NS?modules=financialData,defaultKeyStatistics&crumb=${crumb}",GET,"stock_fundamentals, fundamentals_history, historical_fundamentals","fundamentalsSyncService.ts, backfill_sector_industry.py",Fundamental Data
https://query2.finance.yahoo.com/v7/finance/quote?symbols=${yfSymbols}&fields=${fields}&crumb=${crumb},GET,"stock_fundamentals, fundamentals_history, historical_fundamentals",fundamentalsSyncService.ts,Fundamental Data
https://query2.finance.yahoo.com/v8/finance/chart/{ticker},GET,stock_ohlcv,backfill_ohlcv.py,Historical Price Data (OHLCV)
https://priceapi.moneycontrol.com/pricefeed/nse/equitycash/{mc},GET,nse_stocks,backfill_sector_mc.py,Master Stock Symbol Resolution
https://query2.finance.yahoo.com/v10/finance/quoteSummary/{symbol}.NS,GET,nse_stocks,backfill_sector_industry.py,Master Stock Symbol Resolution
https://api.moneycontrol.com/mcapi/v1/proscanner/scanner-detail,GET,"moneycontrol_screeners, moneycontrol_screener_stocks, screener_master",moneycontrolScreener.ts,MoneyControl Screener Sync
https://api.moneycontrol.com/mcapi/v1/techscanner/scanner-detail,GET,"moneycontrol_screeners, moneycontrol_screener_stocks, screener_master",moneycontrolScreener.ts,MoneyControl Screener Sync
https://archives.nseindia.com/products/content/sec_bhavdata_full_${ddmmyyyy}.csv,GET,stock_delivery_data,deliveryFetcher.ts,NSE Deliverable Volume
https://webapi.niftytrader.in/webapi/option/option-chain-data?symbol={symbol}&exchange=nse&expiryDate=&atmBelow=0&atmAbove=0,GET,stock_options_oi,"pcr_fetcher.py, pcr_engine.py",Options Chains & PCR
https://webapi.niftytrader.in/webapi/option/option-chain-data,GET,"stock_options_oi, historical_fno_sentiment",pcr_fetcher.py,Options Chains & PCR
https://www.nseindia.com/api/option-chain-equities?symbol={symbol},GET,"stock_options_oi, historical_fno_sentiment","pcr_fetcher.py, pcr_engine.py",Options Chains & PCR
https://www.nseindia.com/api/option-chain-indices?symbol={symbol},GET,"stock_options_oi, historical_fno_sentiment","pcr_fetcher.py, pcr_engine.py",Options Chains & PCR
https://www.nseindia.com/option-chain,GET,"stock_options_oi, historical_fno_sentiment",pcr_fetcher.py,Options Chains & PCR
https://finnhub.io/api/v1/quote?symbol=${symbol}.NS&token=${apiKey},GET,stock_ohlcv,liveStockData.ts,Real-time Price Data (OHLCV)
https://query1.finance.yahoo.com/v8/finance/chart/${symbol}.NS?interval=1d&range=1d,GET,stock_ohlcv,liveStockData.ts,Real-time Price Data (OHLCV)
https://query2.finance.yahoo.com/v7/finance/quote?symbols=${yfSymbols}${crumbParam},GET,stock_ohlcv,liveStockData.ts,Real-time Price Data (OHLCV)
https://www.moneycontrol.com/mcapi/v1/quote/${stockMapping.mcsymbol},GET,stock_ohlcv,liveStockData.ts,Real-time Price Data (OHLCV)
https://portal.tradebrains.in/api/prices/superstar/portfolio/star/view/?page_size=100,GET,watchlist,misc.router.ts,Superstar Portfolio Sync
https://portal.tradebrains.in/api/prices/superstar/stocklist/${slug}/?quater=${quarter},GET,watchlist,misc.router.ts,Superstar Portfolio Sync
https://kayal.trendlyne.com/broker-webview/kayal/all-in-one-screener-data-get/,GET,"trendlyne_screeners, trendlyne_screener_stocks, screener_master",trendlyneScreener.ts,Trendlyne Screener Sync
